id;code;label
1;CFA Franc BCEAO proactive;iterate
2;Assurance Assistant Western Sahara;card Chicken
3;Developer Mayotte transmitting;mesh
4;index Incredible;Car interfaces
5;Berkshire;JSON Maine
6;Graphic Interface;generating even-keeled azure
7;Money Market Account Towels connect;zero defect Music United States Minor Outlying Islands
8;input compressing;digital mobile 4th generation
9;Practical Rubber Sausages;back-end reciprocal Coordinator
10;Reverse-engineered intermediate Expressway;red interactive
