id;image_room;image_room_content_type;image_path;room_id
1;../fake-data/blob/hipster.png;image/png;Baby Drives;1
2;../fake-data/blob/hipster.png;image/png;South Dakota;2
3;../fake-data/blob/hipster.png;image/png;Auto Loan Account;3
4;../fake-data/blob/hipster.png;image/png;paradigms;4
5;../fake-data/blob/hipster.png;image/png;JBOD;5
6;../fake-data/blob/hipster.png;image/png;interactive;6
7;../fake-data/blob/hipster.png;image/png;indexing Pennsylvania Paradigm;7
8;../fake-data/blob/hipster.png;image/png;Montana incentivize Minnesota;8
9;../fake-data/blob/hipster.png;image/png;Berkshire deposit;9
10;../fake-data/blob/hipster.png;image/png;USB Michigan convergence;10
